Type
0
Weather
sunny
Time of day
noon
Leaderboard
20
Lewis Hamilton: 2.11077, average pace
Valtteri Bottas: 2.02915, average pace
Sebastian Vettel: 2.0225, average pace
Charles Leclerc: 1.88805, average pace
Max Verstappen: 1.80025, average pace
Kimi Raikkonen: 1.54291, average pace
Pierre Gasly: 1.46009, average pace
Romain Grosjean: 1.4075, average pace
Sergio Perez: 1.37418, average pace
Daniel Ricciardo: 1.36523, average pace
Nico Hulkenberg: 1.36457, average pace
Lando Norris: 1.34586, average pace, made minor mistakes
Kevin Magnussen: 1.34308, average pace
Daniil Kvyat: 1.33533, average pace
Alexander Albon: 1.27397, average pace, made minor mistakes
Lance Stroll: 1.23689, average pace
Antonio Giovinazzi: 1.23329, average pace
George Russell: 1.2226, average pace
Robert Kubica: 1.19194, average pace
Carlos Sainz: 1.15953, average pace,made a major mistake
