Type
0
Weather
sunny
Time of day
noon
Leaderboard
20
Lewis Hamilton: 2.06984, weak pace
Sebastian Vettel: 2.0378, average pace
Valtteri Bottas: 2.03467, average pace
Charles Leclerc: 1.84937, average pace
Max Verstappen: 1.78024, average pace
Pierre Gasly: 1.48281, average pace
Kimi Raikkonen: 1.41747, weak pace, made minor mistakes
Nico Hulkenberg: 1.39161, average pace
Romain Grosjean: 1.39127, average pace
Daniil Kvyat: 1.3753, average pace
Carlos Sainz: 1.36139, average pace
Sergio Perez: 1.36121, average pace
Daniel Ricciardo: 1.35572, average pace
Lando Norris: 1.34387, average pace
Kevin Magnussen: 1.33038, average pace
Alexander Albon: 1.30418, average pace
Lance Stroll: 1.27238, average pace
Robert Kubica: 1.23166, strong pace
George Russell: 1.15555, average pace, made minor mistakes
Antonio Giovinazzi: 1.05398, average pace,made a major mistake
