Type
1
Weather
sunny
Time of day
noon
Leaderboard
15
Lewis Hamilton: 2.24821, strong pace
Sebastian Vettel: 2.08473, strong pace
Max Verstappen: 1.95256, strong pace
Valtteri Bottas: 1.93811, average pace, made minor mistakes
Charles Leclerc: 1.84189, average pace, made minor mistakes
Pierre Gasly: 1.54252, average pace
Kimi Raikkonen: 1.51469, weak pace
Lando Norris: 1.49733, strong pace
Sergio Perez: 1.45454, strong pace
Daniel Ricciardo: 1.40115, average pace
Romain Grosjean: 1.3467, weak pace
Lance Stroll: 1.29633, average pace
Carlos Sainz: 1.26955, weak pace
Alexander Albon: 1.21545, average pace, made minor mistakes
George Russell: 1.12512, average pace
